userId,triggerId,gpsOffsetKm,deviceFingerprint,claimCount30days,platformActiveStatus,claimTimingVsPolicyStart,lastDeliveryCount,deviceClusterSize,isRepeatPattern,isFraud
e0a87dc8-0985-4403-bb2b-78c4a4dbfb29,0e2c68b1-9e89-4a4a-b62d-ed4aca33b3e2,1.37,fp_115b20e6,0,1,6642,5,1,0,0
be293177-458f-4baf-aaa5-8f76ac83f28b,d932f866-1aa2-48fa-8a3e-6117eca66ed5,2.79,fp_54643943,1,1,4235,5,1,0,0
3b637257-e94f-4f31-ac04-c4d081e358f5,6a5b52cf-834c-4d8c-8448-205ddb445b3a,2.78,fp_e5f83cab,0,1,4149,5,1,0,0
d6219dd3-7eb3-4452-a8da-91158358d4e8,0ad8da45-f527-40ed-862c-5a00b4dff5ff,1.77,fp_62716628,0,1,2646,5,1,0,0
0578ebef-e9bc-4634-89bc-b0bf7df3d10f,f01c8849-f96d-48cd-a878-42deb9715f59,1.98,fp_67bea454,1,1,808,5,1,0,0
4f312128-36f1-446a-8a16-317b25829136,f55735a3-865e-4543-95de-394cb33951ad,2.22,fp_417441ea,1,1,4849,4,1,0,0
533cd0f4-bb5d-4ab3-a821-965a1165faf6,216cdf54-361a-423b-8a08-2ec52ade0ce6,0.58,fp_746d1efb,0,1,3425,3,1,0,0
578ed97b-4999-4c25-9df7-acdd2e81b58d,839fcda0-f043-4bdc-b788-0b17cd861afd,1.79,fp_46951488,0,1,6986,7,1,0,0
1918d219-6c6b-4aa7-8afb-52e92c506510,9d7ebd42-74df-4b5c-bbe0-ec831fb16bd2,60.51,fp_749121d3,1,0,5501,1,1,0,1
d0bcdc92-be9e-4937-8ddf-1be7c6269f1a,fdf9f489-41ab-4de1-becf-87db31fa6be3,1.1,fp_f8819f03,0,1,8625,4,1,0,0
f8619fe7-8df8-4485-8fe1-d5e42c2c7507,47bde7ce-7df8-4770-8fa2-1a2ee38d2707,94.12,fp_1811781a,2,1,2581,2,1,0,1
cce58d10-b3ec-4983-843f-fdbcfe8c6e45,98058b2c-003a-4a8d-8d20-fd000136cd64,0.39,fp_34a39d2c,2,0,5136,6,1,0,0
77520cf5-2117-445e-b128-d4d6d91f1c52,b5e226c3-8147-4fa1-b8bc-d724ab40696f,0.43,fp_43148e60,0,1,1230,5,1,0,0
fcddd818-a825-4a29-8eb1-617cf26723f5,b4aa6eab-65db-414f-8e89-faa2af0c9360,2.56,fp_035bce3b,0,0,52,2,1,0,1
b0764ac2-ca18-4fed-8451-383318c5a228,9abf6691-f6b6-468a-b29f-600cfa6cd641,0.03,fp_d96b7ba3,5,0,170,0,1,1,1
da5f1092-9bc0-4256-ae64-809e8658a6a0,d59ed41f-09fd-40d9-b274-8f03e8bc9c16,5.05,fp_e0a731e7,6,0,4087,1,6,1,1
5a0de712-fcf9-49c8-9914-7ee21084ae77,b233da0e-4a17-4cf5-85f5-87a27e451f21,1.09,fp_4ec51f09,1,1,8448,2,1,0,0
ab321db9-eef6-40fd-acff-fb6df4c6cef0,1f2842cc-1c44-4347-b9ee-275e9d0d403a,3.21,fp_4fb6b77c,3,0,4039,3,5,1,1
04aecb3b-da76-4b4b-99cf-1c048151e443,08da5add-c36f-40e6-a88b-90b259e927e7,0.99,fp_ee6d29c3,0,1,9372,2,1,0,0
98412f90-ea60-4f57-9660-7c764aa495b1,3a98c2d0-2611-4104-af78-42d4d656d820,1.17,fp_04c99710,0,1,8005,4,1,0,0
e1184794-ff14-401f-b75e-04e526d18c15,8c6cea06-4d26-4067-827c-3dcebf33a11b,1.05,fp_a677a844,0,0,6893,6,1,0,0
1ec5c2cc-79fd-4150-beb1-6b65d60a4876,be60028a-9e35-4770-aaa9-f58f1db3085e,2.68,fp_407d28e4,1,1,3444,8,1,0,0
8a54a615-aa36-461a-9f76-975f04a7213d,d7b0b79f-ec1f-45e2-bd2e-9ffc43cf98f1,2.73,fp_59335f43,0,1,4946,6,1,0,0
7de43341-f414-49fd-92aa-ef603a85836e,282edc70-e231-4d03-bf36-3f2fa289a6c7,1.88,fp_0fe267b6,0,1,6693,6,1,0,0
1712f9cc-4759-4b57-80e2-58d48b269007,59a4bb30-7148-4e20-90be-67c9a09a56e3,0.11,fp_79e53586,2,1,8266,6,1,0,0
cfea8277-848a-4757-882d-3ba4afbc0a0a,c8b66efb-fb48-4fc6-b39c-a7e64820520c,3.11,fp_ee8504b0,1,1,4306,6,1,0,0
1b87f2b8-758e-45e6-bb7f-455d7c80ff28,14a461f7-89e7-49ef-87df-e3418cf0b0cf,3.41,fp_db95e6ff,2,1,9101,5,1,0,0
5657959e-5a1f-4933-a037-71d8201cfbfd,61000bf7-7bd5-4ed1-aef9-fa2f6bdf823a,5.21,fp_10e98779,4,0,1147,0,4,1,1
bcff967e-5e76-4e22-ad15-39bb8e3ad8b1,180f04b1-9a2e-4b70-9d79-94455dcff9a2,0.09,fp_ac1d31cc,8,0,239,0,1,1,1
cd5d8b3b-91ae-4264-8d39-79d26fbb248f,b9c1c9f8-8fd2-4294-8091-f3bed6ec8886,3.33,fp_ae881844,5,1,2905,2,6,1,1
d62f81d7-285b-4c21-9c0a-09e62cf872c2,5f60616f-2840-4bd3-926c-4c713535f437,1.04,fp_9e9cc74e,0,1,1919,5,1,0,0
dc2c802a-7ceb-4967-8d76-777b28a3f3cb,eefad023-c32b-44a8-864e-ef13477af619,2.71,fp_02235a51,1,1,7658,3,1,0,0
b1fa1c2e-c993-4af0-b665-2a151a6c0037,fc407690-7d07-4911-8e3e-4d7755429aff,2.6,fp_87a32a39,1,1,9010,8,1,0,0
3e2be235-85d4-449d-9e0e-3c1b009edc63,ef3a172c-8b54-4713-a9f2-7996e67ae85b,1.48,fp_7e788fc7,2,1,5897,11,1,0,0
d284cc3f-cb29-4dc0-806c-1748c0cc1c25,da678aae-a426-467f-9e3a-04b44679a2b5,1.76,fp_cd41f728,0,1,2569,3,1,0,0
5b92e1f1-8884-4017-b206-ab4fb44131f0,c8ec7a18-6874-4ca2-9600-5f9ffa5a3ce1,1.3,fp_1a30d5a8,2,1,5875,3,1,0,0
047f7446-06a1-4b99-934a-d554e467f12c,f862bbad-0587-4bab-9b6e-b822438abc3b,1.78,fp_275eecc6,3,1,9937,3,1,0,0
15cd1963-3f14-4635-9944-ec30cfa16cb6,07315029-d61c-4fd1-b062-c0d0f9f2e2a2,2.35,fp_8028b7e3,2,1,881,6,1,0,0
ad8ae952-ba99-41b0-bca8-b929a73fb400,9c53135d-54de-4dc1-8b0e-aec29f851b0b,4.06,fp_b55faf7e,1,0,30,2,1,0,1
7aa12135-dc55-4d98-b313-0d256cdcdb60,c6dedde9-4cae-4c81-b987-c6848929226c,1.87,fp_ef09ea67,0,1,2016,3,1,0,0
9e47bed1-a5aa-4896-89db-49624b0c7343,e4d37c80-581d-41a2-9439-19e7f31fed03,0.39,fp_3e9eec40,1,0,7565,5,1,0,0
7154f2fd-21e2-419c-8e57-71dd1e4eda08,24086e64-0c4e-4a52-bfab-0be563c7d2db,0.64,fp_cccbdcd8,1,1,4803,4,1,0,0
5a1bc559-72c6-463a-a772-dc946097206c,b0efb853-bfe1-4ccd-b9a4-176db1271cd3,1.39,fp_171248c6,1,1,9278,4,1,0,0
8b00c298-e774-4e99-a6cf-864f9d0346eb,29912a39-e896-47bf-9390-997dd67e9cff,3.91,fp_2a8a22e5,4,1,796,0,6,1,1
feb982bd-1d43-49cd-87be-85d613907cd8,07e07d9f-00de-4e87-a54b-6fd23e49be97,3.18,fp_394bf8e5,0,1,4079,4,1,0,0
cffc32ab-f9e1-4afa-ae5d-0ca3b04eb91f,cc03b060-2f8c-499e-8659-aed049a49f93,1.35,fp_e394e92c,2,1,1978,2,1,0,0
0c0f9660-766d-4df0-8534-b925c823ce54,6e526038-a318-49d5-bcc1-82ad98a24835,5.09,fp_090c9819,2,0,50,2,1,0,1
f9991923-e3e9-4729-befc-38059c7d8611,1f3c81c3-a909-476b-9a2f-0225bf00c6fc,1.29,fp_6a67d822,1,0,8909,4,1,0,0
5c89d887-8e91-4a0e-afe5-4626567a8d49,b7eb06a4-e0cd-4e37-bb03-640c5446c433,0.75,fp_0d4235fd,3,1,3604,4,1,0,0
f9c9481e-42ff-4234-8f3d-42c7705ef069,78cd6d11-ccb6-4a54-b058-1cebb0f6ab89,90.01,fp_b5746b75,0,1,4491,3,1,0,1
f1eb1bd3-8e65-4143-944e-bfba64770bd5,d0411410-53ea-470c-b397-8f75251df93b,1.72,fp_e26aed46,0,1,4847,3,1,0,0
9d9ff6a8-c0f1-47bd-b6ba-076aa4da0b8c,74c7f0ae-3839-4018-b6b0-b26419e78980,0.73,fp_3f00d74d,4,1,2241,1,3,1,1
e4627fe9-06ed-4aa4-8d18-eae6cc6934a7,2316a77b-d3b5-4137-840e-e164c163fdda,1.17,fp_48167b10,3,1,1272,1,1,0,0
acdfeec0-0c5f-4a51-8b4b-37b73708cc83,42472390-c120-4847-a830-e6a4393f7a56,1.65,fp_6c7076b2,0,1,884,7,1,0,0
b806b9e8-36cd-4fcb-b30c-d1d1871312c6,8239fd7a-6d68-4464-96d3-46d24e4c2c77,2.01,fp_280094fe,1,0,8527,1,1,0,0
10b8bb82-3d2d-46dd-afde-fe82539870f2,185c48a4-413b-481a-a62b-a44c69310cb0,3.03,fp_992f4c18,1,1,5172,3,1,0,0
1ed15665-51ec-49ec-a0a8-d0a411eff8ac,78df641b-1cd7-489b-80aa-6ad5f5d76f34,2.4,fp_8a96c604,1,1,1503,3,1,0,0
1a99f716-62e6-4e29-9182-00f4067454a9,14f96640-836c-47e1-ae26-c8e1f214143f,1.62,fp_c3d4e98d,0,1,3013,8,1,0,0
